area,date,rbs,shock_class,survival,scaled_intensity,beta_0_median,beta_0_min,beta_0_max,beta_1_median,beta_1_min,beta_1_max,effective_channels,minimum_channels,maximum_channels,calibration_factor,minimum_calibration_factor,maximum_calibration_factor
7.5520000000000005,20170503,sd2,slow,1,150640.80778321484,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,245.56766253801118,193.8994123157201,308.760644431002,3285.790383290854,2598.013967058128,4012.85947532352
4.4544000000000015,20170503,sd2,slow,1,121793.88116929866,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,198.54273984787767,156.76868924098434,249.634596302103,3285.790383290854,2598.013967058128,4012.85947532352
9.5488,20170503,sd2,slow,1,173549.7147037441,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,282.91270075548465,223.38693069837916,355.7158418179653,3285.790383290854,2598.013967058128,4012.85947532352
5.3248000000000015,20170503,sd2,slow,0,178540.03526080493,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,291.04769002264493,229.8102912573164,365.9442428322027,3285.790383290854,2598.013967058128,4012.85947532352
6.912000000000001,20170503,sd2,slow,1,173552.52515102422,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,282.9172822163745,223.3905482047108,355.72160224587407,3285.790383290854,2598.013967058128,4012.85947532352
7.8336000000000015,20170503,sd2,slow,1,130914.01845493168,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,213.40996492596975,168.50780087976278,268.3276682993246,3285.790383290854,2598.013967058128,4012.85947532352
7.8336000000000015,20170503,sd2,slow,1,130914.01845493168,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,213.40996492596975,168.50780087976278,268.3276682993246,3285.790383290854,2598.013967058128,4012.85947532352
2.2272000000000003,20170503,sd2,slow,1,67558.6595418294,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,110.13099539245113,86.95906889220863,138.47147770907117,3285.790383290854,2598.013967058128,4012.85947532352
2.2272000000000003,20170503,sd2,slow,1,67558.6595418294,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,110.13099539245113,86.95906889220863,138.47147770907117,3285.790383290854,2598.013967058128,4012.85947532352
19.3792,20170503,sd2,slow,1,156369.91043426242,-8.456760111119664,-11.366441544988106,-5.736739969808527,1.5631928982752799,1.0824263887477557,2.066584179867288,254.9069801317053,201.2737065290995,320.5032887554698,3285.790383290854,2598.013967058128,4012.85947532352
