area,intensity,date,rbs,mean_bg,exposure_ms,rescaled_intensity
5.888,160387.64671717,20170926,sd0,106461.33626605649,25,107852.62090222702
16.256,229767.59221833726,20170926,sd0,106461.33626605649,25,246612.51190456154
3.7376,226984.18076247146,20170926,sd0,106461.33626605649,25,241045.6889928299
9.2672,203154.59840282425,20170926,sd0,106461.33626605649,25,193386.52427353553
4.7104,152635.92182357542,20170926,sd0,106461.33626605649,25,92349.17111503787
4.8384,183281.9612672589,20170926,sd0,106461.33626605649,25,153641.25000240485
23.3216,170779.25727855394,20170926,sd0,106461.33626605649,25,128635.8420249949
5.376,199814.9043379979,20170926,sd0,113504.8239680432,25,172620.16073990942
21.504,202736.42503872293,20170926,sd0,113504.8239680432,25,178463.20214135945
14.4896,191882.69539730425,20170926,sd0,113504.8239680432,25,156755.7428585221
4.7104,176715.68272037094,20170926,sd0,113504.8239680432,25,126421.71750465548
5.2224,180007.05030452803,20170926,sd0,113504.8239680432,25,133004.45267296967
5.0432000000000015,167363.35871234233,20170926,sd0,113504.8239680432,25,107717.06948859825
13.4144,203061.18030684977,20170926,sd0,113504.8239680432,25,179112.71267761313
4.9152000000000005,166775.68200513994,20170926,sd0,113504.8239680432,25,106541.71607419348
4.0192000000000005,222669.02975036306,20170926,sd0,117337.71944532984,25,210662.62061006643
5.5552,126026.56494896846,20170926,sd0,117337.71944532984,25,17377.69100727723
7.0912000000000015,190031.87401244816,20170926,sd0,117337.71944532984,25,145388.30913423662
6.5792,188366.48627074965,20170926,sd0,117337.71944532984,25,142057.5336508396
6.912000000000001,197432.38797250376,20170926,sd0,117337.71944532984,25,160189.33705434782
7.7824,176095.01215598462,20170926,sd0,117337.71944532984,25,117514.58542130954
10.3936,173155.01528548606,20170926,sd0,117337.71944532984,25,111634.59168031244
23.6288,184540.2868743273,20170926,sd0,119929.74643853705,25,129221.08087158052
3.9936,141093.80442447294,20170926,sd0,119929.74643853705,25,42328.11597187176
7.7568,185631.3920814684,20170926,sd0,119929.74643853705,25,131403.29128586268
5.4528,193387.2139614943,20170926,sd0,119929.74643853705,25,146914.9350459145
5.4272,186619.77525907275,20170926,sd0,119929.74643853705,25,133380.05764107138
7.372800000000002,232682.97435324072,20170926,sd0,119929.74643853705,25,225506.45582940732
7.0912000000000015,176622.7738439723,20170926,sd0,119929.74643853705,25,113386.0548108705
9.216,197022.22494681328,20170926,sd0,119929.74643853705,25,154184.95701655245
5.7344,181597.03450270125,20170926,sd0,119929.74643853705,25,123334.5761283284
7.4496,168701.7619952542,20170926,sd0,119929.74643853705,25,97544.03111343429
5.247999999999999,171575.8364689668,20170926,sd0,117504.51226540304,25,108142.6484071275
5.0688,209429.7185261729,20170926,sd0,117504.51226540304,25,183850.4125215397
4.352,229149.2745974389,20170926,sd0,117504.51226540304,25,223289.52466407174
